id_fixture,season,league,market,prediction_at,odds_count,odds_mean,odds_std,odds_min,odds_max,odds_slot_1,odds_slot_2,odds_slot_3,odds_slot_4,odds_slot_5,odds_slot_6,odds_slot_7,odds_slot_8,odds_slot_9,odds_slot_10,odds_count_goal,odds_mean_goal,odds_std_goal,odds_min_goal,odds_max_goal,implied_prob_goal,odds_count_no_goal,odds_mean_no_goal,odds_std_no_goal,odds_min_no_goal,odds_max_no_goal,implied_prob_no_goal,overround,prob_norm_goal,prob_norm_no_goal,mean_expected_goals_home_stat,mean_expected_goals_away_stat,mean_expected_goals_diff_stat,mean_total_shots_home_stat,mean_total_shots_away_stat,mean_total_shots_diff_stat,mean_corner_kicks_home_stat,mean_corner_kicks_away_stat,mean_corner_kicks_diff_stat,mean_goalkeeper_saves_home_stat,mean_goalkeeper_saves_away_stat,mean_goalkeeper_saves_diff_stat,mean_passes_home_stat,mean_passes_away_stat,mean_passes_diff_stat,mean_ball_possession_home_stat,mean_ball_possession_away_stat,mean_ball_possession_diff_stat,mean_total_passes_home_stat,mean_total_passes_away_stat,mean_total_passes_diff_stat,mean_shots_on_goal_home_stat,mean_shots_on_goal_away_stat,mean_shots_on_goal_diff_stat,mean_shots_off_goal_home_stat,mean_shots_off_goal_away_stat,mean_shots_off_goal_diff_stat,mean_shots_insidebox_home_stat,mean_shots_insidebox_away_stat,mean_shots_insidebox_diff_stat,mean_shots_outsidebox_home_stat,mean_shots_outsidebox_away_stat,mean_shots_outsidebox_diff_stat,mean_fouls_home_stat,mean_fouls_away_stat,mean_fouls_diff_stat,mean_offsides_home_stat,mean_offsides_away_stat,mean_offsides_diff_stat,mean_yellow_cards_home_stat,mean_yellow_cards_away_stat,mean_yellow_cards_diff_stat,mean_goals_prevented_home_stat,mean_goals_prevented_away_stat,mean_goals_prevented_diff_stat,mean_blocked_shots_home_stat,mean_blocked_shots_away_stat,mean_blocked_shots_diff_stat,mean_passes_accurate_home_stat,mean_passes_accurate_away_stat,mean_passes_accurate_diff_stat,mean_red_cards_home_stat,mean_red_cards_away_stat,mean_red_cards_diff_stat,y
1601526,2026,136,goal_no_goal,2026-09-12T17:30:00+00:00,14.0,1.8864285714285713,0.24123512960408988,1.6,2.22,1.6,1.62,1.62,1.62,1.65,1.73,1.75,2.0,2.0,2.1,7.0,1.6557142857142857,0.05525451315946772,1.6,1.75,0.6039689387402933,7.0,2.117142857142857,0.082931001564,2.0,2.22,0.47233468286099867,1.076303621601292,0.5611510791366906,0.43884892086330934,0.5733333333333334,0.13,0.44333333333333336,7.666666666666667,9.333333333333334,-1.666666666666667,2.3333333333333335,6.666666666666667,-4.333333333333334,5.0,2.0,3.0,81.0,88.66666666666667,-7.666666666666671,39.333333333333336,50.666666666666664,-11.333333333333329,348.3333333333333,493.6666666666667,-145.33333333333337,3.3333333333333335,3.6666666666666665,-0.33333333333333304,3.0,3.6666666666666665,-0.6666666666666665,5.666666666666667,5.333333333333333,0.3333333333333339,2.0,4.0,-2.0,15.666666666666666,12.666666666666666,3.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.3333333333333335,2.0,0.3333333333333335,-0.046666666666666634,0.11,-0.15666666666666662,1.3333333333333333,2.0,-0.6666666666666667,283.0,437.3333333333333,-154.33333333333331,0.3333333333333333,0.0,0.3333333333333333,1
1570373,2026,140,goal_no_goal,2026-09-12T16:30:00+00:00,14.0,1.8642857142857145,0.04288094577086748,1.8,1.95,1.8,1.83,1.83,1.83,1.85,1.85,1.85,1.85,1.85,1.87,7.0,1.8671428571428572,0.041991252733425855,1.83,1.95,0.5355776587605202,7.0,1.861428571428571,0.04356557337707684,1.8,1.95,0.5372217958557177,1.0727994546162378,0.49923371647509573,0.5007662835249044,0.9999999999999999,1.0033333333333334,-0.0033333333333335213,10.666666666666666,12.0,-1.333333333333334,4.666666666666667,6.333333333333333,-1.666666666666666,5.0,2.3333333333333335,2.6666666666666665,53.0,85.0,-32.0,37.666666666666664,55.666666666666664,-18.0,373.0,543.3333333333334,-170.33333333333337,3.6666666666666665,5.0,-1.3333333333333335,5.666666666666667,4.0,1.666666666666667,7.333333333333333,7.0,0.33333333333333304,3.3333333333333335,5.0,-1.6666666666666665,10.333333333333334,14.666666666666666,-4.333333333333332,1.6666666666666667,1.3333333333333333,0.3333333333333335,1.6666666666666667,1.3333333333333333,0.3333333333333335,0.6699999999999999,-0.51,1.18,1.3333333333333333,3.0,-1.6666666666666667,306.0,465.6666666666667,-159.66666666666669,0.0,0.0,0.0,1
1570379,2026,140,goal_no_goal,2026-09-12T19:00:00+00:00,14.0,1.8635714285714287,0.062290465087494105,1.75,2.0,1.75,1.8,1.8,1.82,1.82,1.85,1.87,1.87,1.88,1.88,7.0,1.8157142857142858,0.03579989738897622,1.75,1.87,0.5507474429583005,7.0,1.9114285714285713,0.04356557337707688,1.87,2.0,0.523168908819133,1.0739163517774335,0.5128401686469911,0.48715983135300883,1.9200000000000002,0.85,1.0700000000000003,19.666666666666668,10.25,9.416666666666668,7.666666666666667,6.25,1.416666666666667,2.3333333333333335,2.75,-0.4166666666666665,61.0,56.5,4.5,55.0,44.75,10.25,588.6666666666666,332.25,256.41666666666663,9.0,5.25,3.75,5.333333333333333,3.5,1.833333333333333,14.666666666666666,6.5,8.166666666666666,5.0,3.75,1.25,9.666666666666666,14.5,-4.833333333333334,1.6666666666666667,1.75,-0.08333333333333326,2.0,2.25,-0.25,-0.25333333333333335,-0.5800000000000001,0.3266666666666667,5.333333333333333,1.5,3.833333333333333,538.3333333333334,257.0,281.33333333333337,0.0,0.5,-0.5,1
1584406,2026,203,goal_no_goal,2026-09-12T14:00:00+00:00,14.0,1.8542857142857143,0.07138570142085132,1.75,2.0,1.75,1.78,1.8,1.8,1.8,1.8,1.83,1.83,1.88,1.9,7.0,1.7942857142857143,0.0225876975726313,1.75,1.83,0.5573248407643312,7.0,1.9142857142857144,0.04981598792617912,1.83,2.0,0.5223880597014925,1.0797129004658237,0.5161787365177196,0.48382126348228044,0.65,1.345,-0.695,9.0,12.0,-3.0,2.3333333333333335,3.5,-1.1666666666666665,2.0,3.5,-1.5,82.66666666666667,85.5,-2.8333333333333286,51.0,50.0,1.0,397.0,439.5,-42.5,2.0,4.5,-2.5,5.0,4.0,1.0,4.333333333333333,7.5,-3.166666666666667,4.666666666666667,4.5,0.16666666666666696,15.333333333333334,14.0,1.333333333333334,0.3333333333333333,2.0,-1.6666666666666667,2.0,3.0,-1.0,0.019999999999999997,0.1,-0.08000000000000002,2.0,3.5,-1.5,333.0,376.0,-43.0,0.3333333333333333,0.0,0.3333333333333333,0
1552754,2026,61,goal_no_goal,2026-09-03T18:45:00+00:00,10.0,2.0650000000000004,0.0616846820531646,1.97,2.2,1.97,2.0,2.02,2.04,2.05,2.07,2.1,2.1,2.1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0650000000000004,0.0616846820531646,1.97,2.2,0.48426150121065364,0.48426150121065364,0.0,1.0,1.14,1.165,-0.025000000000000133,6.0,10.0,-4.0,2.0,1.5,0.5,5.0,2.0,3.0,82.0,83.0,-1.0,49.0,35.0,14.0,445.0,341.0,104.0,2.0,6.0,-4.0,3.0,2.5,0.5,4.0,6.0,-2.0,2.0,4.0,-2.0,18.0,12.0,6.0,0.0,3.5,-3.5,3.0,2.0,1.0,1.31,0.43999999999999995,0.8700000000000001,1.0,2.0,-1.0,366.0,283.0,83.0,0.0,0.0,0.0,0
1558603,2026,144,goal_no_goal,2026-09-03T18:30:00+00:00,10.0,1.8509999999999998,0.04867237409455179,1.8,1.97,1.8,1.81,1.83,1.83,1.83,1.83,1.85,1.85,1.91,1.97,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.8509999999999998,0.04867237409455179,1.8,1.97,0.5402485143165857,0.5402485143165857,0.0,1.0,0.512,1.305,-0.7929999999999999,6.8,19.0,-12.2,4.8,5.0,-0.20000000000000018,1.8,3.5,-1.7,52.2,80.5,-28.299999999999997,50.0,51.0,-1.0,302.6,468.0,-165.39999999999998,4.6,2.0,2.5999999999999996,4.4,7.0,-2.5999999999999996,4.4,11.5,-7.1,2.4,7.5,-5.1,9.4,9.5,-0.09999999999999964,1.4,2.0,-0.6000000000000001,1.6,1.0,0.6000000000000001,-0.076,-0.010000000000000009,-0.06599999999999999,1.8,10.0,-8.2,264.2,378.0,-113.80000000000001,0.2,0.0,0.2,0
1570392,2026,140,goal_no_goal,2026-09-03T19:00:00+00:00,10.0,2.011,0.08312039460926537,1.85,2.15,1.85,1.89,1.98,2.0,2.02,2.05,2.05,2.05,2.07,2.15,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.011,0.08312039460926537,1.85,2.15,0.49726504226752855,0.49726504226752855,0.0,1.0,1.2633333333333332,0.44,0.8233333333333333,12.0,6.0,6.0,6.333333333333333,4.5,1.833333333333333,5.0,3.5,1.5,85.33333333333333,87.0,-1.6666666666666714,50.666666666666664,53.0,-2.3333333333333357,497.0,567.5,-70.5,5.333333333333333,2.0,3.333333333333333,3.3333333333333335,3.0,0.3333333333333335,8.333333333333334,3.5,4.833333333333334,3.6666666666666665,2.5,1.1666666666666665,13.0,7.5,5.5,1.0,3.0,-2.0,2.6666666666666665,0.5,2.1666666666666665,0.73,-0.18999999999999997,0.9199999999999999,3.3333333333333335,1.0,2.3333333333333335,427.0,494.0,-67.0,0.0,0.5,-0.5,0
1558604,2026,144,goal_no_goal,2026-09-03T18:30:00+00:00,10.0,2.085,0.04652956049652745,2.02,2.2,2.02,2.05,2.05,2.06,2.07,2.1,2.1,2.1,2.1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.085,0.04652956049652745,2.02,2.2,0.47961630695443647,0.47961630695443647,0.0,1.0,0.6125,0.985,-0.37249999999999994,6.5,14.0,-7.5,7.5,4.5,3.0,1.25,3.0,-1.75,40.5,77.0,-36.5,60.0,50.0,10.0,256.25,401.0,-144.75,5.0,3.5,1.5,4.5,7.5,-3.0,4.25,9.0,-4.75,2.25,5.0,-2.75,14.75,9.0,5.75,1.5,2.0,-0.5,2.25,1.0,1.25,-0.33249999999999996,0.355,-0.6875,3.5,3.0,0.5,208.5,310.0,-101.5,0.0,0.0,0.0,0
1552748,2026,61,goal_no_goal,2026-09-05T18:45:00+00:00,5.0,2.004,0.008000000000000007,2.0,2.02,2.0,2.0,2.0,2.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.004,0.008000000000000007,2.0,2.02,0.499001996007984,0.499001996007984,0.0,1.0,0.645,3.04,-2.395,13.0,27.0,-14.0,6.0,7.0,-1.0,5.5,0.0,5.5,81.0,83.0,-2.0,46.5,51.0,-4.5,376.5,432.0,-55.5,4.0,7.0,-3.0,5.0,12.0,-7.0,8.0,16.0,-8.0,5.0,11.0,-6.0,14.5,19.0,-4.5,3.0,5.0,-2.0,2.5,2.0,0.5,0.625,1.31,-0.685,4.0,8.0,-4.0,305.5,357.0,-51.5,0.0,0.0,0.0,1
1557396,2026,39,goal_no_goal,2026-09-05T14:00:00+00:00,5.0,2.21,0.015491933384829683,2.2,2.24,2.2,2.2,2.2,2.21,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.21,0.015491933384829683,2.2,2.24,0.45248868778280543,0.45248868778280543,0.0,1.0,2.3,1.12,1.1799999999999997,12.0,17.0,-5.0,5.0,9.0,-4.0,2.0,0.0,2.0,67.0,89.0,-22.0,31.0,58.0,-27.0,288.0,498.0,-210.0,3.0,6.0,-3.0,3.0,8.0,-5.0,11.0,10.0,1.0,1.0,7.0,-6.0,10.0,15.0,-5.0,0.0,2.0,-2.0,2.0,1.0,1.0,0.02,0.91,-0.89,6.0,3.0,3.0,193.0,442.0,-249.0,0.0,0.0,0.0,0
