id_fixture,season,league,market,prediction_at,odds_count,odds_mean,odds_std,odds_min,odds_max,odds_slot_1,odds_slot_2,odds_slot_3,odds_slot_4,odds_slot_5,odds_slot_6,odds_slot_7,odds_slot_8,odds_slot_9,odds_slot_10,odds_count_no_goal,odds_mean_no_goal,odds_std_no_goal,odds_min_no_goal,odds_max_no_goal,implied_prob_no_goal,overround,prob_norm_no_goal,mean_corner_kicks_home_stat,mean_corner_kicks_away_stat,mean_corner_kicks_diff_stat,mean_fouls_home_stat,mean_fouls_away_stat,mean_fouls_diff_stat,mean_total_shots_home_stat,mean_total_shots_away_stat,mean_total_shots_diff_stat,mean_shots_insidebox_home_stat,mean_shots_insidebox_away_stat,mean_shots_insidebox_diff_stat,mean_passes_accurate_home_stat,mean_passes_accurate_away_stat,mean_passes_accurate_diff_stat,mean_passes_home_stat,mean_passes_away_stat,mean_passes_diff_stat,mean_goalkeeper_saves_home_stat,mean_goalkeeper_saves_away_stat,mean_goalkeeper_saves_diff_stat,mean_red_cards_home_stat,mean_red_cards_away_stat,mean_red_cards_diff_stat,mean_offsides_home_stat,mean_offsides_away_stat,mean_offsides_diff_stat,mean_expected_goals_home_stat,mean_expected_goals_away_stat,mean_expected_goals_diff_stat,mean_shots_on_goal_home_stat,mean_shots_on_goal_away_stat,mean_shots_on_goal_diff_stat,mean_blocked_shots_home_stat,mean_blocked_shots_away_stat,mean_blocked_shots_diff_stat,mean_ball_possession_home_stat,mean_ball_possession_away_stat,mean_ball_possession_diff_stat,mean_shots_outsidebox_home_stat,mean_shots_outsidebox_away_stat,mean_shots_outsidebox_diff_stat,mean_total_passes_home_stat,mean_total_passes_away_stat,mean_total_passes_diff_stat,mean_goals_prevented_home_stat,mean_goals_prevented_away_stat,mean_goals_prevented_diff_stat,mean_shots_off_goal_home_stat,mean_shots_off_goal_away_stat,mean_shots_off_goal_diff_stat,mean_yellow_cards_home_stat,mean_yellow_cards_away_stat,mean_yellow_cards_diff_stat,y,odds_count_goal,odds_mean_goal,odds_std_goal,odds_min_goal,odds_max_goal,implied_prob_goal,prob_norm_goal
1584389,2026,203,goal_no_goal,2026-08-29T18:30:00+00:00,9.0,1.8577777777777778,0.034889596595794554,1.83,1.91,1.83,1.83,1.83,1.83,1.84,1.84,1.9,1.91,1.91,0.0,9.0,1.8577777777777778,0.034889596595794554,1.83,1.91,0.5382775119617225,0.5382775119617225,1.0,5.0,7.5,-2.5,11.5,14.0,-2.5,24.0,18.0,6.0,15.5,13.5,2.0,474.5,199.0,275.5,89.5,66.5,23.0,2.5,0.5,2.0,0.0,0.0,0.0,3.5,1.0,2.5,2.73,1.855,0.875,8.5,6.5,2.0,5.5,3.5,2.0,58.0,41.0,17.0,8.5,4.5,4.0,530.0,293.5,236.5,0.645,0.15500000000000003,0.49,10.0,8.0,2.0,0.5,2.5,-2.0,1,,,,,,,
1622622,2026,2,goal_no_goal,2026-08-18T19:00:00+00:00,11.0,1.767272727272727,0.04992556442816725,1.68,1.85,1.68,1.73,1.73,1.73,1.75,1.75,1.78,1.78,1.83,1.83,11.0,1.767272727272727,0.04992556442816725,1.68,1.85,0.565843621399177,0.565843621399177,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
1558610,2026,144,goal_no_goal,2026-08-29T16:15:00+00:00,9.0,2.0855555555555556,0.036243347622889145,2.0,2.12,2.0,2.05,2.08,2.1,2.1,2.1,2.1,2.12,2.12,0.0,9.0,2.0855555555555556,0.036243347622889145,2.0,2.12,0.4794885455514118,0.4794885455514118,1.0,3.0,12.0,-9.0,5.0,7.0,-2.0,15.0,23.0,-8.0,10.0,14.0,-4.0,290.0,462.0,-172.0,73.0,89.0,-16.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.77,1.25,-0.48,2.0,5.0,-3.0,3.0,6.0,-3.0,49.0,56.0,-7.0,5.0,9.0,-4.0,396.0,517.0,-121.0,0.06,0.0,0.06,10.0,12.0,-2.0,1.0,0.0,1.0,1,,,,,,,
1623438,2026,3,goal_no_goal,2026-08-20T18:00:00+00:00,11.0,1.8454545454545452,0.06597019111464265,1.77,2.0,1.77,1.78,1.78,1.8,1.83,1.83,1.85,1.85,1.9,1.91,11.0,1.8454545454545452,0.06597019111464265,1.77,2.0,0.5418719211822661,0.5418719211822661,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
1623449,2026,3,goal_no_goal,2026-08-27T17:00:00+00:00,10.0,1.9009999999999998,0.03780211634287155,1.83,1.95,1.83,1.83,1.9,1.91,1.91,1.91,1.92,1.92,1.93,1.95,10.0,1.9009999999999998,0.03780211634287155,1.83,1.95,0.5260389268805892,0.5260389268805892,1.0,1.0,4.5,-3.5,9.0,11.0,-2.0,0.0,6.5,-6.5,0.0,4.0,-4.0,0.0,160.5,-160.5,0.0,40.0,-40.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,1.02,-1.02,2.0,5.0,-3.0,1.0,4.5,-3.5,43.0,51.0,-8.0,0.0,2.5,-2.5,0.0,200.5,-200.5,0.0,0.22,-0.22,5.0,5.0,0.0,2.0,2.0,0.0,1,,,,,,,
1584381,2026,203,goal_no_goal,2026-08-23T18:30:00+00:00,9.0,1.911111111111111,0.023778816176702976,1.87,1.95,1.87,1.9,1.9,1.9,1.91,1.91,1.91,1.95,1.95,0.0,9.0,1.911111111111111,0.023778816176702976,1.87,1.95,0.5232558139534884,0.5232558139534884,1.0,8.0,1.0,7.0,13.0,7.0,6.0,20.0,10.0,10.0,14.0,4.0,10.0,138.0,215.0,-77.0,60.0,77.0,-17.0,0.0,10.0,-10.0,0.0,0.0,0.0,1.0,0.0,1.0,1.71,1.19,0.52,7.0,3.0,4.0,7.0,1.0,6.0,31.0,29.0,2.0,6.0,6.0,0.0,230.0,281.0,-51.0,-1.71,-0.06,-1.65,6.0,6.0,0.0,4.0,0.0,4.0,0,,,,,,,
1584382,2026,203,goal_no_goal,2026-08-24T18:30:00+00:00,10.0,1.842,0.04707440918375924,1.8,1.95,1.8,1.8,1.81,1.82,1.82,1.83,1.83,1.85,1.91,1.95,10.0,1.842,0.04707440918375924,1.8,1.95,0.5428881650380022,0.5428881650380022,1.0,2.0,4.0,-2.0,14.0,10.0,4.0,8.0,13.0,-5.0,3.0,7.0,-4.0,384.0,384.0,0.0,84.0,87.0,-3.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,0.5,1.15,-0.6499999999999999,4.0,5.0,-1.0,2.0,2.0,0.0,49.0,47.0,2.0,5.0,6.0,-1.0,459.0,439.0,20.0,0.13,-0.72,0.85,2.0,6.0,-4.0,2.0,1.0,1.0,0,,,,,,,
1623388,2026,848,goal_no_goal,2026-08-20T19:00:00+00:00,11.0,1.800909090909091,0.030586552438655885,1.73,1.85,1.73,1.78,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.85,11.0,1.800909090909091,0.030586552438655885,1.73,1.85,0.5552751135790005,0.5552751135790005,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1552152,2026,88,goal_no_goal,2026-08-30T18:00:00+00:00,10.0,2.1719999999999997,0.037629775444453575,2.12,2.25,2.12,2.14,2.14,2.15,2.15,2.17,2.2,2.2,2.2,2.25,10.0,2.1719999999999997,0.037629775444453575,2.12,2.25,0.46040515653775327,0.46040515653775327,1.0,5.0,8.0,-3.0,11.5,13.0,-1.5,15.0,25.25,-10.25,12.5,15.75,-3.25,389.0,503.25,-114.25,85.5,86.75,-1.25,3.5,2.75,0.75,0.0,0.0,0.0,1.5,1.25,0.25,1.79,0.5275,1.2625000000000002,5.5,9.25,-3.75,4.5,8.25,-3.75,54.5,62.5,-8.0,2.5,9.5,-7.0,455.0,582.0,-127.0,-0.645,-0.3325,-0.3125,5.0,7.75,-2.75,1.0,2.0,-1.0,1,,,,,,,
1550089,2026,135,goal_no_goal,2026-08-24T16:30:00+00:00,11.0,1.85,0.02828427124746186,1.8,1.91,1.8,1.82,1.83,1.84,1.85,1.85,1.85,1.85,1.87,1.88,11.0,1.85,0.02828427124746186,1.8,1.91,0.5405405405405405,0.5405405405405405,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
