id_fixture,season,league,market,prediction_at,odds_count,odds_mean,odds_std,odds_min,odds_max,odds_slot_1,odds_slot_2,odds_slot_3,odds_slot_4,odds_slot_5,odds_slot_6,odds_slot_7,odds_slot_8,odds_slot_9,odds_slot_10,odds_count_over_1_5,odds_mean_over_1_5,odds_std_over_1_5,odds_min_over_1_5,odds_max_over_1_5,implied_prob_over_1_5,odds_count_under_1_5,odds_mean_under_1_5,odds_std_under_1_5,odds_min_under_1_5,odds_max_under_1_5,implied_prob_under_1_5,overround,prob_norm_over_1_5,prob_norm_under_1_5,mean_shots_insidebox_home_stat,mean_shots_insidebox_away_stat,mean_shots_insidebox_diff_stat,mean_goals_prevented_home_stat,mean_goals_prevented_away_stat,mean_goals_prevented_diff_stat,mean_total_shots_home_stat,mean_total_shots_away_stat,mean_total_shots_diff_stat,mean_shots_on_goal_home_stat,mean_shots_on_goal_away_stat,mean_shots_on_goal_diff_stat,mean_fouls_home_stat,mean_fouls_away_stat,mean_fouls_diff_stat,mean_passes_accurate_home_stat,mean_passes_accurate_away_stat,mean_passes_accurate_diff_stat,mean_ball_possession_home_stat,mean_ball_possession_away_stat,mean_ball_possession_diff_stat,mean_shots_off_goal_home_stat,mean_shots_off_goal_away_stat,mean_shots_off_goal_diff_stat,mean_expected_goals_home_stat,mean_expected_goals_away_stat,mean_expected_goals_diff_stat,mean_yellow_cards_home_stat,mean_yellow_cards_away_stat,mean_yellow_cards_diff_stat,mean_goalkeeper_saves_home_stat,mean_goalkeeper_saves_away_stat,mean_goalkeeper_saves_diff_stat,mean_passes_home_stat,mean_passes_away_stat,mean_passes_diff_stat,mean_shots_outsidebox_home_stat,mean_shots_outsidebox_away_stat,mean_shots_outsidebox_diff_stat,mean_red_cards_home_stat,mean_red_cards_away_stat,mean_red_cards_diff_stat,mean_offsides_home_stat,mean_offsides_away_stat,mean_offsides_diff_stat,mean_blocked_shots_home_stat,mean_blocked_shots_away_stat,mean_blocked_shots_diff_stat,mean_total_passes_home_stat,mean_total_passes_away_stat,mean_total_passes_diff_stat,mean_corner_kicks_home_stat,mean_corner_kicks_away_stat,mean_corner_kicks_diff_stat,y
1575482,2026,94,under_over_1_5,2026-09-05T17:00:00+00:00,10.0,2.102,0.7329229154556433,1.36,3.0,1.36,1.36,1.36,1.39,1.41,2.7,2.72,2.72,3.0,3.0,5.0,1.3760000000000001,0.020591260281973917,1.36,1.41,0.7267441860465116,5.0,2.8280000000000003,0.14062716664997546,2.7,3.0,0.35360678925035355,1.0803509752968652,0.6726926736441484,0.3273073263558515,6.5,5.75,0.75,-0.09000000000000001,-0.025,-0.065,9.5,8.0,1.5,2.5,4.5,-2.0,12.0,12.5,-0.5,272.5,328.0,-55.5,48.0,48.75,-0.75,6.0,2.75,3.25,1.08,0.2075,0.8725,1.5,2.0,-0.5,3.5,1.0,2.5,80.0,62.75,17.25,3.0,2.25,0.75,0.5,0.0,0.5,2.5,1.5,1.0,1.0,4.0,-3.0,341.0,391.25,-50.25,6.0,4.0,2.0,1
1575484,2026,94,under_over_1_5,2026-09-05T14:30:00+00:00,10.0,2.128,0.7717227481421032,1.33,3.07,1.33,1.33,1.36,1.39,1.4,2.7,2.85,2.85,3.0,3.07,5.0,1.362,0.029257477676655513,1.33,1.4,0.7342143906020557,5.0,2.894,0.1293986089569744,2.7,3.07,0.3455425017277125,1.0797568923297682,0.6799812030075187,0.3200187969924812,8.5,4.666666666666667,3.833333333333333,-0.15,-0.2,0.05000000000000002,12.0,10.0,2.0,5.5,2.6666666666666665,2.8333333333333335,10.5,12.333333333333334,-1.833333333333334,326.5,488.3333333333333,-161.83333333333331,51.5,63.666666666666664,-12.166666666666664,5.5,4.333333333333333,1.166666666666667,1.695,0.62,1.0750000000000002,2.5,2.0,0.5,2.5,1.3333333333333333,1.1666666666666667,83.0,87.33333333333333,-4.333333333333329,3.5,5.333333333333333,-1.833333333333333,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,-2.0,393.5,558.0,-164.5,1.5,6.666666666666667,-5.166666666666667,1
1575487,2026,94,under_over_1_5,2026-09-05T17:00:00+00:00,10.0,3.146,2.023458425567474,1.12,5.5,1.12,1.12,1.13,1.14,1.16,4.8,4.8,5.25,5.44,5.5,5.0,1.134,0.014966629547095696,1.12,1.16,0.8818342151675486,5.0,5.158,0.3037367281051142,4.8,5.5,0.19387359441644048,1.0757078095839891,0.8197711379529561,0.18022886204704383,7.5,5.0,2.5,0.05500000000000001,0.2833333333333333,-0.22833333333333333,10.5,8.333333333333334,2.166666666666666,4.0,9.666666666666666,-5.666666666666666,12.5,11.0,1.5,300.0,183.0,117.0,40.5,65.0,-24.5,4.5,7.333333333333333,-2.833333333333333,1.1400000000000001,0.6766666666666666,0.4633333333333335,1.5,0.6666666666666666,0.8333333333333334,4.0,0.3333333333333333,3.6666666666666665,78.5,29.666666666666668,48.83333333333333,3.0,3.3333333333333335,-0.3333333333333335,0.0,0.0,0.0,0.5,1.0,-0.5,2.0,7.0,-5.0,379.5,205.66666666666666,173.83333333333334,2.0,8.0,-6.0,1
1570372,2026,140,under_over_1_5,2026-09-05T19:00:00+00:00,8.0,2.94,1.7861410918513687,1.15,5.25,1.15,1.16,1.16,1.2,4.5,4.55,4.55,5.25,0.0,0.0,4.0,1.1675,0.019202864369671536,1.15,1.2,0.8565310492505354,4.0,4.7125,0.3109963826156183,4.5,5.25,0.21220159151193632,1.0687326407624718,0.8014455782312925,0.19855442176870744,8.5,4.666666666666667,3.833333333333333,-0.9099999999999999,-0.7633333333333333,-0.1466666666666666,12.5,8.333333333333334,4.166666666666666,6.5,3.6666666666666665,2.8333333333333335,13.5,14.333333333333334,-0.8333333333333339,462.5,362.6666666666667,99.83333333333331,53.5,43.0,10.5,3.0,3.3333333333333335,-0.3333333333333335,2.235,0.9566666666666667,1.2783333333333333,3.0,2.6666666666666665,0.3333333333333335,2.5,3.0,-0.5,88.5,84.66666666666667,3.8333333333333286,4.0,3.6666666666666665,0.3333333333333335,0.0,0.3333333333333333,-0.3333333333333333,2.0,1.6666666666666667,0.33333333333333326,3.0,1.3333333333333333,1.6666666666666667,520.0,427.3333333333333,92.66666666666669,6.5,3.6666666666666665,2.8333333333333335,1
1601513,2026,136,under_over_1_5,2026-09-05T15:15:00+00:00,10.0,2.4259999999999997,1.1802050669269304,1.22,3.75,1.22,1.22,1.25,1.25,1.3,3.5,3.54,3.54,3.69,3.75,5.0,1.2479999999999998,0.029257477676655614,1.22,1.3,0.8012820512820514,5.0,3.604,0.09769339793455849,3.5,3.75,0.27746947835738067,1.078751529639432,0.7427864798021435,0.2572135201978565,10.0,10.5,-0.5,0.6933333333333334,0.095,0.5983333333333334,13.0,19.5,-6.5,3.6666666666666665,4.5,-0.8333333333333335,11.666666666666666,13.5,-1.833333333333334,446.3333333333333,452.5,-6.166666666666686,62.0,56.0,6.0,5.333333333333333,9.5,-4.166666666666667,0.9833333333333333,1.115,-0.1316666666666667,2.6666666666666665,1.0,1.6666666666666665,4.666666666666667,2.0,2.666666666666667,86.66666666666667,90.0,-3.3333333333333286,3.0,9.0,-6.0,0.0,0.0,0.0,0.3333333333333333,1.5,-1.1666666666666667,4.0,5.5,-1.5,514.0,502.5,11.5,5.333333333333333,8.0,-2.666666666666667,0
1570364,2026,140,under_over_1_5,2026-09-05T14:15:00+00:00,10.0,2.409,1.1416781507938216,1.27,3.83,1.27,1.27,1.28,1.29,1.29,3.15,3.48,3.48,3.75,3.83,5.0,1.28,0.008944271909999166,1.27,1.29,0.78125,5.0,3.5380000000000003,0.2397832354440152,3.15,3.83,0.28264556246466926,1.0638955624646693,0.734329597343296,0.265670402656704,7.0,7.666666666666667,-0.666666666666667,1.005,-0.3366666666666666,1.3416666666666666,10.5,15.333333333333334,-4.833333333333334,3.5,5.0,-1.5,11.5,15.0,-3.5,301.0,457.0,-156.0,37.5,54.333333333333336,-16.833333333333336,6.5,4.333333333333333,2.166666666666667,1.5,0.82,0.68,2.5,2.3333333333333335,0.16666666666666652,5.0,3.0,2.0,79.5,87.33333333333333,-7.833333333333329,3.5,7.666666666666667,-4.166666666666667,0.0,0.3333333333333333,-0.3333333333333333,2.5,2.0,0.5,0.5,6.0,-5.5,366.0,524.3333333333334,-158.33333333333337,5.5,4.333333333333333,1.166666666666667,1
1558620,2026,144,under_over_1_5,2026-09-05T18:45:00+00:00,10.0,2.585,1.3765772771624556,1.19,4.21,1.19,1.19,1.22,1.22,1.24,3.84,3.84,3.9,4.0,4.21,5.0,1.2120000000000002,0.019390719429665335,1.19,1.24,0.825082508250825,5.0,3.9579999999999997,0.13891004283348277,3.84,4.21,0.25265285497726125,1.0777353632280862,0.7655705996131528,0.23442940038684723,7.333333333333333,10.0,-2.666666666666667,-0.63,-0.13,-0.5,10.666666666666666,17.0,-6.333333333333334,4.666666666666667,7.5,-2.833333333333333,12.0,13.0,-1.0,331.0,348.0,-17.0,49.666666666666664,54.5,-4.833333333333336,5.0,7.0,-2.0,1.3833333333333333,0.98,0.4033333333333333,2.0,0.5,1.5,2.6666666666666665,2.0,0.6666666666666665,74.33333333333333,81.5,-7.166666666666671,3.3333333333333335,7.0,-3.6666666666666665,0.0,0.0,0.0,3.6666666666666665,2.0,1.6666666666666665,1.0,2.5,-1.5,439.0,425.0,14.0,3.3333333333333335,8.0,-4.666666666666666,0
1558618,2026,144,under_over_1_5,2026-09-05T14:00:00+00:00,10.0,2.4850000000000003,1.2495619232354995,1.21,3.92,1.21,1.21,1.25,1.25,1.27,3.62,3.62,3.75,3.75,3.92,5.0,1.238,0.02400000000000002,1.21,1.27,0.8077544426494346,5.0,3.732,0.11052601503718473,3.62,3.92,0.2679528403001072,1.0757072829495418,0.7509054325955735,0.24909456740442656,13.0,10.75,2.25,0.325,-0.1475,0.47250000000000003,20.5,13.75,6.75,5.0,5.25,-0.25,8.5,11.25,-2.75,393.0,389.75,3.25,52.5,49.5,3.0,11.0,5.75,5.25,1.47,0.6225,0.8474999999999999,0.5,2.5,-2.0,2.5,3.0,-0.5,85.0,60.75,24.25,7.5,3.0,4.5,0.0,0.25,-0.25,1.5,3.75,-2.25,4.5,2.75,1.75,459.0,472.5,-13.5,8.5,3.75,4.75,1
1557405,2026,39,under_over_1_5,2026-09-12T19:00:00+00:00,14.0,2.265,0.9305892910255462,1.32,3.4,1.32,1.32,1.33,1.33,1.34,1.36,1.38,2.91,3.14,3.14,7.0,1.3399999999999999,0.020701966780270583,1.32,1.38,0.746268656716418,7.0,3.19,0.14252819269985043,2.91,3.4,0.31347962382445144,1.0597482805408693,0.7041942604856513,0.2958057395143488,9.5,7.5,2.0,0.165,-0.19,0.355,13.0,13.5,-0.5,4.5,4.0,0.5,9.5,8.0,1.5,308.0,512.0,-204.0,46.0,63.0,-17.0,6.0,5.0,1.0,1.01,1.425,-0.41500000000000004,1.0,1.0,0.0,0.5,0.5,0.0,42.0,90.0,-48.0,3.5,6.0,-2.5,0.0,0.0,0.0,2.0,6.5,-4.5,2.5,4.5,-2.0,387.0,570.5,-183.5,3.0,6.0,-3.0,1
1557401,2026,39,under_over_1_5,2026-09-12T14:00:00+00:00,14.0,2.7064285714285714,1.4993503695308328,1.18,4.5,1.18,1.2,1.21,1.22,1.22,1.24,1.26,3.7,4.05,4.13,7.0,1.2185714285714284,0.0241593350361254,1.18,1.26,0.8206330597889802,7.0,4.194285714285714,0.26092457272756275,3.7,4.5,0.23841961852861038,1.0590526783175904,0.7748746371074163,0.2251253628925838,6.5,5.0,1.5,-0.48,-0.2,-0.27999999999999997,9.5,11.5,-2.0,3.0,5.0,-2.0,7.5,9.0,-1.5,264.0,328.0,-64.0,31.5,42.5,-11.0,5.0,4.0,1.0,0.285,1.005,-0.72,0.5,2.0,-1.5,4.5,5.5,-1.0,41.0,41.5,-0.5,3.0,6.5,-3.5,0.0,0.0,0.0,4.5,3.0,1.5,1.5,2.5,-1.0,329.0,393.5,-64.5,1.5,4.0,-2.5,1
