id_fixture,season,league,market,prediction_at,odds_count,odds_mean,odds_std,odds_min,odds_max,odds_slot_1,odds_slot_2,odds_slot_3,odds_slot_4,odds_slot_5,odds_slot_6,odds_slot_7,odds_slot_8,odds_slot_9,odds_slot_10,odds_count_over_3_5,odds_mean_over_3_5,odds_std_over_3_5,odds_min_over_3_5,odds_max_over_3_5,implied_prob_over_3_5,odds_count_under_3_5,odds_mean_under_3_5,odds_std_under_3_5,odds_min_under_3_5,odds_max_under_3_5,implied_prob_under_3_5,overround,prob_norm_over_3_5,prob_norm_under_3_5,mean_shots_outsidebox_home_stat,mean_shots_outsidebox_away_stat,mean_shots_outsidebox_diff_stat,mean_yellow_cards_home_stat,mean_yellow_cards_away_stat,mean_yellow_cards_diff_stat,mean_passes_accurate_home_stat,mean_passes_accurate_away_stat,mean_passes_accurate_diff_stat,mean_corner_kicks_home_stat,mean_corner_kicks_away_stat,mean_corner_kicks_diff_stat,mean_total_shots_home_stat,mean_total_shots_away_stat,mean_total_shots_diff_stat,mean_expected_goals_home_stat,mean_expected_goals_away_stat,mean_expected_goals_diff_stat,mean_offsides_home_stat,mean_offsides_away_stat,mean_offsides_diff_stat,mean_fouls_home_stat,mean_fouls_away_stat,mean_fouls_diff_stat,mean_ball_possession_home_stat,mean_ball_possession_away_stat,mean_ball_possession_diff_stat,mean_blocked_shots_home_stat,mean_blocked_shots_away_stat,mean_blocked_shots_diff_stat,mean_goalkeeper_saves_home_stat,mean_goalkeeper_saves_away_stat,mean_goalkeeper_saves_diff_stat,mean_passes_home_stat,mean_passes_away_stat,mean_passes_diff_stat,mean_shots_off_goal_home_stat,mean_shots_off_goal_away_stat,mean_shots_off_goal_diff_stat,mean_shots_on_goal_home_stat,mean_shots_on_goal_away_stat,mean_shots_on_goal_diff_stat,mean_goals_prevented_home_stat,mean_goals_prevented_away_stat,mean_goals_prevented_diff_stat,mean_shots_insidebox_home_stat,mean_shots_insidebox_away_stat,mean_shots_insidebox_diff_stat,mean_red_cards_home_stat,mean_red_cards_away_stat,mean_red_cards_diff_stat,mean_total_passes_home_stat,mean_total_passes_away_stat,mean_total_passes_diff_stat,y,odds_count_alternate_under_3_5,odds_mean_alternate_under_3_5,odds_std_alternate_under_3_5,odds_min_alternate_under_3_5,odds_max_alternate_under_3_5,implied_prob_alternate_under_3_5,odds_count_alternate_over_3_5,odds_mean_alternate_over_3_5,odds_std_alternate_over_3_5,odds_min_alternate_over_3_5,odds_max_alternate_over_3_5,implied_prob_alternate_over_3_5,prob_norm_alternate_under_3_5,prob_norm_alternate_over_3_5
1601526,2026,136,under_over_3_5,2026-09-12T17:30:00+00:00,14.0,2.225,0.9020512338949648,1.29,3.3,1.29,1.3,1.33,1.33,1.33,1.36,1.39,2.83,2.85,3.1,7.0,3.117142857142857,0.18591198268568498,2.83,3.3,0.32080659945004586,7.0,1.332857142857143,0.031493439550069405,1.29,1.39,0.7502679528403,1.0710745522903458,0.29951845906902097,0.7004815409309791,2.0,4.0,-2.0,2.3333333333333335,2.0,0.3333333333333335,283.0,437.3333333333333,-154.33333333333331,2.3333333333333335,6.666666666666667,-4.333333333333334,7.666666666666667,9.333333333333334,-1.666666666666667,0.5733333333333334,0.13,0.44333333333333336,0.6666666666666666,0.3333333333333333,0.3333333333333333,15.666666666666666,12.666666666666666,3.0,39.333333333333336,50.666666666666664,-11.333333333333329,1.3333333333333333,2.0,-0.6666666666666667,5.0,2.0,3.0,81.0,88.66666666666667,-7.666666666666671,3.0,3.6666666666666665,-0.6666666666666665,3.3333333333333335,3.6666666666666665,-0.33333333333333304,-0.046666666666666634,0.11,-0.15666666666666662,5.666666666666667,5.333333333333333,0.3333333333333339,0.3333333333333333,0.0,0.3333333333333333,348.3333333333333,493.6666666666667,-145.33333333333337,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1570373,2026,140,under_over_3_5,2026-09-12T16:30:00+00:00,14.0,2.0621428571428573,0.6198637934651287,1.4,2.88,1.4,1.43,1.43,1.44,1.45,1.49,1.5,2.5,2.58,2.58,7.0,2.6757142857142857,0.1202208851426814,2.5,2.88,0.37373198077949815,7.0,1.4485714285714286,0.032701494692170305,1.4,1.5,0.6903353057199211,1.0640672864994192,0.3512296501558712,0.6487703498441288,3.3333333333333335,5.0,-1.6666666666666665,1.6666666666666667,1.3333333333333333,0.3333333333333335,306.0,465.6666666666667,-159.66666666666669,4.666666666666667,6.333333333333333,-1.666666666666666,10.666666666666666,12.0,-1.333333333333334,0.9999999999999999,1.0033333333333334,-0.0033333333333335213,1.6666666666666667,1.3333333333333333,0.3333333333333335,10.333333333333334,14.666666666666666,-4.333333333333332,37.666666666666664,55.666666666666664,-18.0,1.3333333333333333,3.0,-1.6666666666666667,5.0,2.3333333333333335,2.6666666666666665,53.0,85.0,-32.0,5.666666666666667,4.0,1.666666666666667,3.6666666666666665,5.0,-1.3333333333333335,0.6699999999999999,-0.51,1.18,7.333333333333333,7.0,0.33333333333333304,0.0,0.0,0.0,373.0,543.3333333333334,-170.33333333333337,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1570379,2026,140,under_over_3_5,2026-09-12T19:00:00+00:00,16.0,1.9375,0.25479158149358083,1.6,2.25,1.6,1.64,1.67,1.68,1.7,1.72,1.74,1.75,2.08,2.16,8.0,1.6875,0.04763139720814412,1.6,1.75,0.5925925925925926,8.0,2.1875,0.050682837331783206,2.08,2.25,0.45714285714285713,1.0497354497354496,0.5645161290322581,0.43548387096774194,5.0,3.75,1.25,2.0,2.25,-0.25,538.3333333333334,257.0,281.33333333333337,7.666666666666667,6.25,1.416666666666667,19.666666666666668,10.25,9.416666666666668,1.9200000000000002,0.85,1.0700000000000003,1.6666666666666667,1.75,-0.08333333333333326,9.666666666666666,14.5,-4.833333333333334,55.0,44.75,10.25,5.333333333333333,1.5,3.833333333333333,2.3333333333333335,2.75,-0.4166666666666665,61.0,56.5,4.5,5.333333333333333,3.5,1.833333333333333,9.0,5.25,3.75,-0.25333333333333335,-0.5800000000000001,0.3266666666666667,14.666666666666666,6.5,8.166666666666666,0.0,0.5,-0.5,588.6666666666666,332.25,256.41666666666663,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1584406,2026,203,under_over_3_5,2026-09-12T14:00:00+00:00,14.0,2.3142857142857145,1.0159352783499145,1.26,3.42,1.26,1.26,1.29,1.3,1.33,1.33,1.33,3.24,3.24,3.25,7.0,3.328571428571429,0.0764252335719728,3.24,3.42,0.3004291845493562,7.0,1.3,0.02927700218845602,1.26,1.33,0.7692307692307692,1.0696599537801252,0.2808641975308642,0.7191358024691359,4.666666666666667,4.5,0.16666666666666696,2.0,3.0,-1.0,333.0,376.0,-43.0,2.3333333333333335,3.5,-1.1666666666666665,9.0,12.0,-3.0,0.65,1.345,-0.695,0.3333333333333333,2.0,-1.6666666666666667,15.333333333333334,14.0,1.333333333333334,51.0,50.0,1.0,2.0,3.5,-1.5,2.0,3.5,-1.5,82.66666666666667,85.5,-2.8333333333333286,5.0,4.0,1.0,2.0,4.5,-2.5,0.019999999999999997,0.1,-0.08000000000000002,4.333333333333333,7.5,-3.166666666666667,0.3333333333333333,0.0,0.3333333333333333,397.0,439.5,-42.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1552754,2026,61,under_over_3_5,2026-09-03T18:45:00+00:00,20.0,2.2074999999999996,0.8548208876717975,1.3,3.55,1.3,1.33,1.35,1.36,1.37,1.37,1.38,1.38,1.4,1.42,10.0,3.0490000000000004,0.21011663427725083,2.73,3.55,0.3279763857002295,10.0,1.366,0.032310988842806976,1.3,1.42,0.7320644216691068,1.0600408073693364,0.3093997734994337,0.6906002265005662,2.0,4.0,-2.0,3.0,2.0,1.0,366.0,283.0,83.0,2.0,1.5,0.5,6.0,10.0,-4.0,1.14,1.165,-0.025000000000000133,0.0,3.5,-3.5,18.0,12.0,6.0,49.0,35.0,14.0,1.0,2.0,-1.0,5.0,2.0,3.0,82.0,83.0,-1.0,3.0,2.5,0.5,2.0,6.0,-4.0,1.31,0.43999999999999995,0.8700000000000001,4.0,6.0,-2.0,0.0,0.0,0.0,445.0,341.0,104.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1558603,2026,144,under_over_3_5,2026-09-03T18:30:00+00:00,20.0,2.3095000000000003,1.0108880996430814,1.25,3.5,1.25,1.25,1.26,1.29,1.3,1.3,1.32,1.33,1.36,1.41,10.0,3.312,0.1773583942191629,2.95,3.5,0.30193236714975846,10.0,1.307,0.04817675788178361,1.25,1.41,0.7651109410864576,1.067043308236216,0.28296168001731975,0.7170383199826802,2.4,7.5,-5.1,1.6,1.0,0.6000000000000001,264.2,378.0,-113.80000000000001,4.8,5.0,-0.20000000000000018,6.8,19.0,-12.2,0.512,1.305,-0.7929999999999999,1.4,2.0,-0.6000000000000001,9.4,9.5,-0.09999999999999964,50.0,51.0,-1.0,1.8,10.0,-8.2,1.8,3.5,-1.7,52.2,80.5,-28.299999999999997,4.4,7.0,-2.5999999999999996,4.6,2.0,2.5999999999999996,-0.076,-0.010000000000000009,-0.06599999999999999,4.4,11.5,-7.1,0.2,0.0,0.2,302.6,468.0,-165.39999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1570392,2026,140,under_over_3_5,2026-09-03T19:00:00+00:00,20.0,2.1755000000000004,0.799652893448151,1.35,3.2,1.35,1.35,1.36,1.38,1.38,1.38,1.39,1.4,1.41,1.42,10.0,2.9690000000000003,0.13816294727603345,2.75,3.2,0.3368137420006736,10.0,1.3820000000000001,0.022715633383201032,1.35,1.42,0.723589001447178,1.0604027434478516,0.31762813146403124,0.6823718685359688,3.6666666666666665,2.5,1.1666666666666665,2.6666666666666665,0.5,2.1666666666666665,427.0,494.0,-67.0,6.333333333333333,4.5,1.833333333333333,12.0,6.0,6.0,1.2633333333333332,0.44,0.8233333333333333,1.0,3.0,-2.0,13.0,7.5,5.5,50.666666666666664,53.0,-2.3333333333333357,3.3333333333333335,1.0,2.3333333333333335,5.0,3.5,1.5,85.33333333333333,87.0,-1.6666666666666714,3.3333333333333335,3.0,0.3333333333333335,5.333333333333333,2.0,3.333333333333333,0.73,-0.18999999999999997,0.9199999999999999,8.333333333333334,3.5,4.833333333333334,0.0,0.5,-0.5,497.0,567.5,-70.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1558604,2026,144,under_over_3_5,2026-09-03T18:30:00+00:00,20.0,1.9465,0.34934617501841914,1.57,2.42,1.57,1.57,1.57,1.58,1.6,1.6,1.61,1.62,1.64,1.65,10.0,2.2920000000000003,0.06764613810115098,2.2,2.42,0.43630017452006975,10.0,1.6010000000000002,0.027730849247724048,1.57,1.65,0.6246096189881324,1.0609097935082021,0.411250963267403,0.588749036732597,2.25,5.0,-2.75,2.25,1.0,1.25,208.5,310.0,-101.5,7.5,4.5,3.0,6.5,14.0,-7.5,0.6125,0.985,-0.37249999999999994,1.5,2.0,-0.5,14.75,9.0,5.75,60.0,50.0,10.0,3.5,3.0,0.5,1.25,3.0,-1.75,40.5,77.0,-36.5,4.5,7.5,-3.0,5.0,3.5,1.5,-0.33249999999999996,0.355,-0.6875,4.25,9.0,-4.75,0.0,0.0,0.0,256.25,401.0,-144.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1552748,2026,61,under_over_3_5,2026-09-05T18:45:00+00:00,10.0,2.3200000000000003,1.0246853175487585,1.28,3.58,1.28,1.28,1.29,1.32,1.33,3.2,3.26,3.26,3.4,3.58,5.0,3.34,0.1368210510118966,3.2,3.58,0.29940119760479045,5.0,1.3000000000000003,0.02097617696340305,1.28,1.33,0.769230769230769,1.0686319668355595,0.28017241379310354,0.7198275862068965,5.0,11.0,-6.0,2.5,2.0,0.5,305.5,357.0,-51.5,6.0,7.0,-1.0,13.0,27.0,-14.0,0.645,3.04,-2.395,3.0,5.0,-2.0,14.5,19.0,-4.5,46.5,51.0,-4.5,4.0,8.0,-4.0,5.5,0.0,5.5,81.0,83.0,-2.0,5.0,12.0,-7.0,4.0,7.0,-3.0,0.625,1.31,-0.685,8.0,16.0,-8.0,0.0,0.0,0.0,376.5,432.0,-55.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1557396,2026,39,under_over_3_5,2026-09-05T14:00:00+00:00,10.0,2.113,0.7211664163007039,1.38,3.0,1.38,1.38,1.38,1.4,1.44,2.72,2.76,2.76,2.91,3.0,5.0,2.83,0.10695793565696753,2.72,3.0,0.35335689045936397,5.0,1.396,0.023323807579381222,1.38,1.44,0.7163323782234957,1.0696892686828596,0.3303360151443446,0.6696639848556555,1.0,7.0,-6.0,2.0,1.0,1.0,193.0,442.0,-249.0,5.0,9.0,-4.0,12.0,17.0,-5.0,2.3,1.12,1.1799999999999997,0.0,2.0,-2.0,10.0,15.0,-5.0,31.0,58.0,-27.0,6.0,3.0,3.0,2.0,0.0,2.0,67.0,89.0,-22.0,3.0,8.0,-5.0,3.0,6.0,-3.0,0.02,0.91,-0.89,11.0,10.0,1.0,0.0,0.0,0.0,288.0,498.0,-210.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
