id_fixture,season,current_league,league_match,date_fixture,round_fixture,referee,team_id,team_name,home_away,opponent_id,opponent_name,score_home_ht,score_away_ht,score_home_ft,score_away_ft,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,form_last_5,form_att_last_5,form_def_last_5,form_goal_for_average_last_5,form_goal_against_average_last_5,for_total_goal_home,for_total_goal_away,for_total_goal,for_total_average_goals_home,for_total_average_goals_away,for_total_average_goals,for_0-15_goal_total,for_0-15_goal_percentage,for_16-30_goal_total,for_16-30_goal_percentage,for_31-45_goal_total,for_31-45_goal_percentage,for_46-60_goal_total,for_46-60_goal_percentage,for_61-75_goal_total,for_61-75_goal_percentage,for_76-90_goal_total,for_76-90_goal_percentage,for_91-105_goal_total,for_91-105_goal_percentage,for_106-120_goal_total,for_106-120_goal_percentage,for_0.5_over,for_0.5_under,for_1.5_over,for_1.5_under,for_2.5_over,for_2.5_under,for_3.5_over,for_3.5_under,for_4.5_over,for_4.5_under,against_total_goal_home,against_total_goal_away,against_total_goal,against_total_average_goals_home,against_total_average_goals_away,against_total_average_goals,against_0-15_goal_total,against_0-15_goal_percentage,against_16-30_goal_total,against_16-30_goal_percentage,against_31-45_goal_total,against_31-45_goal_percentage,against_46-60_goal_total,against_46-60_goal_percentage,against_61-75_goal_total,against_61-75_goal_percentage,against_76-90_goal_total,against_76-90_goal_percentage,against_91-105_goal_total,against_91-105_goal_percentage,against_106-120_goal_total,against_106-120_goal_percentage,against_0.5_over,against_0.5_under,against_1.5_over,against_1.5_under,against_2.5_over,against_2.5_under,against_3.5_over,against_3.5_under,against_4.5_over,against_4.5_under,wins_home,wins_away,draws_home,draws_away,loses_home,loses_away,clean_sheet_home,clean_sheet_away,clean_sheet_total,comparison_form,comparison_att,comparison_def,comparison_poisson_distribution,comparison_h2h,comparison_goals,comparison_tot,predict_winner_predict_id,predict_winner_predict_name,predict_win_or_draw,predict_under_over,predict_goal_home,predict_goal_away,predict_advice,predict_percent_home,predict_percent_draw,predict_percent_away,Assists,Counter Attacks,Cross Attacks,Free Kicks,Goals,Goal Attempts,Substitutions,Throwins,Medical Treatment
199337,2015,88,88,2016-05-12T18:45:00+00:00,Europa League Play-offs - Semi-finals,"Kevin Blom,",193,PEC Zwolle,1,207,Utrecht,0,0,0,0,0,6,11.0,5,3.0,8.0,11,7,6,56.0,1,0,3,448.0,348.0,78.0,0.47,0.53,0.35,1.8,2.2,35,21,56,2.1,1.2,1.6,8.0,14.04%,10.0,17.54%,10.0,17.54%,10.0,17.54%,10.0,17.54%,4.0,7.02%,5.0,8.77%,,,27,7,17,17,7,27,3,31,2,32,27,27,54,1.6,1.6,1.6,6.0,11.32%,7.0,13.21%,10.0,18.87%,8.0,15.09%,9.0,16.98%,11.0,20.75%,2.0,3.77%,,,28,6,16,18,6,28,2,32,2,32,10,4,2,4,5,9,2,4,6,0.5,0.5,0.45,0.49,0.6,0.64,0.53,193.0,PEC Zwolle,True,1.5,-2.5,-2.5,Combo Double chance : PEC Zwolle or draw and +1.5 goals,0.45,0.45,0.1,,,,,,,,,
199338,2015,88,88,2016-05-15T12:30:00+00:00,Europa League Play-offs - Semi-finals,"Dennis Higler, Netherlands",193,PEC Zwolle,0,207,Utrecht,3,0,5,2,4,3,9.0,2,6.0,3.0,14,4,1,48.0,3,1,1,381.0,303.0,80.0,0.33,0.4,0.33,1.2,2.0,35,21,56,1.9,1.2,1.6,8.0,14.04%,10.0,17.54%,10.0,17.54%,10.0,17.54%,10.0,17.54%,4.0,7.02%,5.0,8.77%,,,27,8,17,18,7,28,3,32,2,33,27,27,54,1.5,1.6,1.5,6.0,11.32%,7.0,13.21%,10.0,18.87%,8.0,15.09%,9.0,16.98%,11.0,20.75%,2.0,3.77%,,,28,7,16,19,6,29,2,33,2,33,10,4,3,4,5,9,3,4,7,0.5,0.5,0.44,0.43,0.5,0.63,0.5,193.0,PEC Zwolle,True,,-2.5,-2.5,Double chance : draw or PEC Zwolle,0.1,0.45,0.45,,,,,,,,,
199346,2015,88,88,2015-08-12T17:45:00+00:00,Regular Season - 1,"Dennis Higler, Netherlands",193,PEC Zwolle,1,420,Cambuur,2,0,2,2,5,4,11.0,2,8.0,3.0,0,3,2,34.0,2,0,5,247.0,168.0,68.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.63,0.565,193.0,PEC Zwolle,True,,,,Double chance : PEC Zwolle or draw,0.45,0.45,0.1,,,,,,,,,
199349,2015,88,88,2015-08-15T16:30:00+00:00,Regular Season - 2,"Allard Lindhout, Netherlands",193,PEC Zwolle,0,199,De Graafschap,0,0,0,3,5,9,16.0,2,5.0,11.0,0,2,2,42.0,1,0,4,300.0,209.0,70.0,0.33,0.14,0.86,2.0,2.0,2,0,2,2.0,0.0,2.0,,,,,2.0,100.00%,,,,,,,,,,,1,0,1,0,0,1,0,1,0,1,2,0,2,2.0,0.0,2.0,,,,,,,,,1.0,50.00%,1.0,50.00%,,,,,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1.0,0.67,0.6,0.0,0.0,0.0,0.635,193.0,PEC Zwolle,True,1.5,-1.5,-2.5,Combo Double chance : draw or PEC Zwolle and +1.5 goals,0.0,0.5,0.5,,,,,,,,,
199361,2015,88,88,2015-08-23T10:30:00+00:00,Regular Season - 3,"Kevin Blom,",193,PEC Zwolle,1,415,Twente,1,0,2,1,7,12,25.0,6,15.0,10.0,0,7,1,44.0,0,0,4,346.0,268.0,77.0,0.67,0.33,0.87,2.5,1.0,2,3,5,2.0,3.0,2.5,,,,,2.0,40.00%,1.0,20.00%,2.0,40.00%,,,,,,,2,0,2,0,1,1,0,2,0,2,2,0,2,2.0,0.0,1.0,,,,,,,,,1.0,50.00%,1.0,50.00%,,,,,1,1,1,1,0,2,0,2,0,2,0,1,1,0,0,0,0,1,1,0.8,0.71,0.71,0.47,0.25,0.38,0.5529999999999999,193.0,PEC Zwolle,True,,-2.5,-2.5,Double chance : PEC Zwolle or draw,0.45,0.45,0.1,,,,,,,,,
199368,2015,88,88,2015-08-29T17:45:00+00:00,Regular Season - 4,"Pol van Boekel, Netherlands",193,PEC Zwolle,0,210,Heerenveen,1,0,1,1,2,9,16.0,5,10.0,6.0,0,3,1,38.0,1,0,2,342.0,247.0,72.0,0.78,1.0,0.57,2.3,1.0,4,3,7,2.0,3.0,2.3,,,1.0,14.29%,2.0,28.57%,1.0,14.29%,3.0,42.86%,,,,,,,3,0,3,0,1,2,0,3,0,3,3,0,3,1.5,0.0,1.0,,,,,,,1.0,33.33%,1.0,33.33%,1.0,33.33%,,,,,2,1,1,2,0,3,0,3,0,3,1,1,1,0,0,0,0,1,1,0.58,0.58,0.5,1.0,0.15,0.25,0.412,210.0,Heerenveen,True,,-2.5,-3.5,Double chance : Heerenveen or draw,0.45,0.45,0.1,,,,,,,,,
199379,2015,88,88,2015-09-12T18:45:00+00:00,Regular Season - 5,"Danny Desmond Makkelie, Netherlands",193,PEC Zwolle,1,196,Excelsior,2,0,3,0,6,5,16.0,5,10.0,6.0,0,5,3,50.0,1,0,2,431.0,343.0,80.0,0.67,0.47,0.76,2.0,1.0,4,4,8,2.0,2.0,2.0,,,1.0,12.50%,2.0,25.00%,2.0,25.00%,3.0,37.50%,,,,,,,4,0,3,1,1,3,0,4,0,4,3,1,4,1.5,0.5,1.0,1.0,25.00%,,,,,1.0,25.00%,1.0,25.00%,1.0,25.00%,,,,,3,1,1,3,0,4,0,4,0,4,1,1,1,1,0,0,0,1,1,0.67,0.62,0.56,1.0,0.8,0.86,0.7020000000000001,193.0,PEC Zwolle,True,,-2.5,-2.5,Double chance : PEC Zwolle or draw,0.45,0.45,0.1,,,,,,,,,
199386,2015,88,88,2015-09-19T17:45:00+00:00,Regular Season - 6,"Ed Peter Janssen, Netherlands",193,PEC Zwolle,1,198,ADO Den Haag,0,1,2,1,6,5,16.0,5,9.0,7.0,0,8,2,46.0,3,0,2,348.0,258.0,74.0,0.73,1.0,0.43,2.2,0.8,7,4,11,2.3,2.0,2.2,1.0,9.09%,2.0,18.18%,2.0,18.18%,3.0,27.27%,3.0,27.27%,,,,,,,5,0,4,1,2,3,0,5,0,5,3,1,4,1.0,0.5,0.8,1.0,25.00%,,,,,1.0,25.00%,1.0,25.00%,1.0,25.00%,,,,,3,2,1,4,0,5,0,5,0,5,2,1,1,1,0,0,1,1,2,0.69,0.61,0.69,0.68,0.71,0.67,0.675,193.0,PEC Zwolle,True,1.5,-3.5,-2.5,Combo Double chance : PEC Zwolle or draw and +1.5 goals,0.5,0.5,0.0,,,,,,,,,
199399,2015,88,88,2015-09-27T12:30:00+00:00,Regular Season - 7,"Bjorn Kuipers, Netherlands",193,PEC Zwolle,0,209,Feyenoord,0,0,2,0,0,4,4.0,0,3.0,1.0,0,3,3,41.0,4,0,4,338.0,248.0,73.0,0.87,0.58,0.84,2.2,0.6,9,4,13,2.3,2.0,2.2,1.0,7.69%,2.0,15.38%,2.0,15.38%,3.0,23.08%,4.0,30.77%,1.0,7.69%,,,,,6,0,5,1,2,4,0,6,0,6,4,1,5,1.0,0.5,0.8,1.0,20.00%,,,1.0,20.00%,1.0,20.00%,1.0,20.00%,1.0,20.00%,,,,,4,2,1,5,0,6,0,6,0,6,3,1,1,1,0,0,1,1,2,0.57,0.61,0.57,0.66,0.6,0.5,0.585,193.0,PEC Zwolle,True,,-2.5,-2.5,Double chance : draw or PEC Zwolle,0.1,0.45,0.45,,,,,,,,,
199405,2015,88,88,2015-10-03T17:45:00+00:00,Regular Season - 8,"Richard Liesveld, Netherlands",193,PEC Zwolle,0,195,Willem II,0,1,0,1,5,8,13.0,0,7.0,6.0,0,9,0,42.0,3,0,5,296.0,185.0,63.0,0.67,0.44,0.72,1.6,1.0,9,4,13,2.3,1.3,1.9,1.0,7.69%,2.0,15.38%,2.0,15.38%,3.0,23.08%,4.0,30.77%,1.0,7.69%,,,,,6,1,5,2,2,5,0,7,0,7,4,3,7,1.0,1.0,1.0,1.0,14.29%,,,1.0,14.29%,2.0,28.57%,1.0,14.29%,2.0,28.57%,,,,,5,2,2,5,0,7,0,7,0,7,3,1,1,1,0,1,1,1,2,0.67,0.62,0.5,0.61,1.0,1.0,0.6,193.0,PEC Zwolle,True,,-1.5,-2.5,Double chance : draw or PEC Zwolle,0.1,0.45,0.45,,,,,,,,,
